#  2M1324  Ch1 Light Curve
# Period =       13.0000 hr
# Time [BMJD]       Counts
  56384.1999623    18133.84556
  56384.2001101    17820.60770
  56384.2002630    17540.24021
  56384.2004157    17616.85539
  56384.2005639    17645.37695
  56384.2007167    17640.41968
  56384.2008694    17816.59730
  56384.2010222    17882.96917
  56384.2011703    17731.94932
  56384.2013232    17490.80081
  56384.2014759    17659.87065
  56384.2016287    17547.57217
  56384.2017768    17541.66257
  56384.2019297    17661.54202
  56384.2020824    17975.11313
  56384.2022351    17971.69976
  56384.2023833    17542.18581
  56384.2025361    17816.45213
  56384.2026889    17497.78661
  56384.2028416    17982.31414
  56384.2029945    17682.62817
  56384.2031472    17777.25445
  56384.2032953    17448.14858
  56384.2034482    17467.42998
  56384.2035962    17512.07265
  56384.2037491    17555.60293
  56384.2039019    17596.41625
  56384.2040546    17553.34354
  56384.2042028    17698.66741
  56384.2043555    17755.44885
  56384.2045084    17866.45572
  56384.2046611    18043.34597
  56384.2048093    17568.29119
  56384.2049620    17859.00669
  56384.2051149    17849.79249
  56384.2052675    17860.91175
  56384.2054157    17361.01879
  56384.2055686    17754.90902
  56384.2057213    17763.55678
  56384.2058741    17828.44822
  56384.2060268    18025.99236
  56384.2061750    17720.88341
  56384.2063278    17914.71264
  56384.2064806    17892.87611
  56384.2066335    17442.67354
  56384.2067815    17609.42705
  56384.2069344    17910.58949
  56384.2070871    17655.69400
  56384.2072352    17518.68488
  56384.2073880    17618.54796
  56384.2075408    17600.86206
  56384.2076936    17909.32429
  56384.2078464    17836.36429
  56384.2079945    17963.86415
  56384.2081473    17756.48113
  56384.2083000    17638.96465
  56384.2084529    17844.77589
  56384.2086010    17886.32725
  56384.2087537    17691.01357
  56384.2089065    17569.03665
  56384.2090593    17728.26574
  56384.2092075    17637.66359
  56384.2093602    18010.96370
  56384.2095131    17843.17552
  56384.2096658    17914.76907
  56384.2098186    17532.93267
  56384.2099668    17812.03036
  56384.2101195    17292.10692
  56384.2102723    17569.23360
  56384.2104250    18061.30545
  56384.2105778    17649.88357
  56384.2107261    17904.03315
  56384.2108787    17575.77925
  56384.2110316    17266.63552
  56384.2111797    17717.26541
  56384.2113326    17482.18182
  56384.2114852    17857.88573
  56384.2116333    17512.91270
  56384.2117862    17913.98535
  56384.2119389    17912.15341
  56384.2120918    17970.82754
  56384.2122445    17760.09900
  56384.2123927    17724.98585
  56384.2125455    17522.69636
  56384.2126983    17886.03280
  56384.2128510    17535.68080
  56384.2129992    17806.62369
  56384.2131520    17706.18520
  56384.2133047    18050.92132
  56384.2134576    17942.65650
  56384.2136056    17958.63896
  56384.2137584    17772.78224
  56384.2139113    17733.69619
  56384.2140593    17576.45612
  56384.2142122    17569.86036
  56384.2143649    17827.35949
  56384.2145178    18013.22050
  56384.2146658    17718.73615
  56384.2148186    17736.30669
  56384.2149714    17616.90968
  56384.2151242    17815.54859
  56384.2152769    17962.58248
  56384.2154251    17427.40672
  56384.2155780    18069.61744
  56384.2158834    17753.66998
  56384.2160362    17837.64606
  56384.2161843    17566.89393
  56384.2163371    17994.87833
  56384.2164900    18025.76352
  56384.2166381    17983.73576
  56384.2167909    17951.04043
  56384.2169436    17829.11103
  56384.2170964    18157.11588
  56384.2172445    17922.90697
  56384.2174019    17888.92227
  56384.2175502    17638.21632
  56384.2177029    18031.54434
  56384.2178557    17808.60592
  56384.2180039    17508.56749
  56384.2181567    18083.31740
  56384.2183094    17943.39176
  56384.2184574    17896.08242
  56384.2186104    17885.51240
  56384.2187631    17614.21036
  56384.2189159    18005.95535
  56384.2190640    17649.83360
  56384.2192169    17872.64877
  56384.2193696    17639.98080
  56384.2195223    18325.35802
  56384.2196706    17626.07196
  56384.2199762    17832.35736
  56384.2201289    17729.26327
  56384.2204299    18405.83459
  56384.2205825    17939.06365
  56384.2207354    17813.84185
  56384.2208835    18090.16481
  56384.2210363    17865.70117
  56384.2211891    17866.41691
  56384.2213418    17927.88291
  56384.2216428    18074.19551
  56384.2217956    18040.11776
  56384.2219484    17720.66820
  56384.2220965    17456.46787
  56384.2222493    18010.21599
  56384.2224021    18002.80300
  56384.2225548    17912.74465
  56384.2227029    17757.35051
  56384.2228558    18039.27704
  56384.2230086    18003.26802
  56384.2231613    17992.36362
  56384.2233095    17940.87891
  56384.2234622    17807.38701
  56384.2236150    17850.27472
  56384.2237678    17845.27376
  56384.2239160    17763.60493
  56384.2240687    17585.18238
  56384.2242216    17880.79695
  56384.2243742    18148.11531
  56384.2245223    17862.41656
  56384.2246753    17756.58637
  56384.2248280    17541.32515
  56384.2249808    17963.11816
  56384.2251289    18054.19948
  56384.2252818    17944.78308
  56384.2254345    17787.71108
  56384.2255872    17653.69312
  56384.2257354    17885.10554
  56384.2258882    18162.43156
  56384.2260411    18048.21701
  56384.2261938    17858.86027
  56384.2263465    18149.70016
  56384.2264947    17918.53127
  56384.2266475    17821.11807
  56384.2268003    17846.90532
  56384.2269483    17681.47738
  56384.2271012    18098.04102
  56384.2272539    17960.71045
  56384.2274067    18005.10556
  56384.2275596    17992.85189
  56384.2277076    17969.14125
  56384.2278605    18065.04563
  56384.2280133    18065.85135
  56384.2281613    17671.07301
  56384.2283142    17802.77825
  56384.2284669    17768.15100
  56384.2286197    17810.72817
  56384.2287679    17806.41586
  56384.2289253    17987.90791
  56384.2290734    17732.23571
  56384.2292262    17945.41240
  56384.2293744    17863.23620
  56384.2295271    17933.16876
  56384.2296799    18152.36379
  56384.2298327    17881.03197
  56384.2299808    17868.60769
  56384.2301336    17821.99461
  56384.2302863    18250.28820
  56384.2304392    17895.45216
  56384.2305873    18114.29434
  56384.2307402    18030.36711
  56384.2308928    18010.02107
  56384.2310456    18008.45754
  56384.2311938    18039.20899
  56384.2313465    17863.16225
  56384.2314994    18207.94300
  56384.2316521    18152.12543
  56384.2318003    18278.28366
  56384.2319531    18051.38123
  56384.2321058    18124.24522
  56384.2322586    18277.59720
  56384.2324114    18071.94557
  56384.2325596    17831.43116
  56384.2327124    18124.01328
  56384.2328651    18100.34094
  56384.2330133    17918.97760
  56384.2331707    17984.65164
  56384.2333189    17963.40021
  56384.2334716    18040.92858
  56384.2336244    18061.48954
  56384.2337725    17780.52395
  56384.2339253    18169.13463
  56384.2340782    17838.69406
  56384.2342262    18249.48373
  56384.2343791    18162.58230
  56384.2345364    18076.20540
  56384.2346846    17885.37799
  56384.2348327    17845.38010
  56384.2349856    17934.61219
  56384.2351383    18188.74027
  56384.2352910    17897.71246
  56384.2354439    18110.87169
  56384.2355920    18060.91753
  56384.2357448    17869.87675
  56384.2358976    17995.25432
  56384.2360457    17683.29949
  56384.2363513    17825.81341
  56384.2365041    18152.07711
  56384.2366522    18109.51516
  56384.2368097    18075.70790
  56384.2369578    17592.82083
  56384.2371106    17925.30215
  56384.2372586    17887.43900
  56384.2374114    18009.85786
  56384.2375643    17682.39046
  56384.2377170    18128.33660
  56384.2378653    17968.80950
  56384.2380179    18145.76091
  56384.2381707    18001.45390
  56384.2383236    17939.98183
  56384.2384762    18140.83614
  56384.2386244    17854.87236
  56384.2387772    18085.13888
  56384.2389299    18179.94759
  56384.2390781    18438.16911
  56384.2392356    17962.59984
  56384.2393837    18089.99114
  56384.2395365    18087.87703
  56384.2396847    17928.11478
  56384.2399901    17958.53816
  56384.2401430    18231.18746
  56384.2402911    17721.01034
  56384.2404439    17919.79232
  56384.2407494    17936.23408
  56384.2408976    17824.23378
  56384.2410551    18263.97230
  56384.2413559    18293.98587
  56384.2415087    18157.74444
  56384.2416569    18001.81522
  56384.2418096    18499.12316
  56384.2419624    18047.15844
