#  2M2228  Ch1 Light Curve
# Period =        1.3685900 hr
# Time [BMJD]       Counts
  56279.5196750     3509.76202
  56279.5198228     3596.00530
  56279.5199756     3318.89072
  56279.5201284     3445.44211
  56279.5202812     3462.50618
  56279.5204292     3225.65614
  56279.5205820     3312.18829
  56279.5207347     3384.40388
  56279.5208874     3413.91463
  56279.5210357     3581.48197
  56279.5211884     3452.34025
  56279.5213411     3376.37040
  56279.5214940     3444.39032
  56279.5216467     3337.12084
  56279.5217949     3624.66109
  56279.5219476     3535.87260
  56279.5221004     3435.82424
  56279.5222485     3435.73176
  56279.5224012     3368.82137
  56279.5225541     3346.70545
  56279.5227067     3530.91290
  56279.5228596     3647.44751
  56279.5230077     3364.97753
  56279.5231604     3217.27960
  56279.5233132     3506.90958
  56279.5234613     3425.51133
  56279.5236143     3465.46160
  56279.5237669     3411.15204
  56279.5239196     3357.35702
  56279.5240678     3677.33011
  56279.5242205     3466.29508
  56279.5243733     3296.05338
  56279.5245261     3403.53625
  56279.5246789     3526.59605
  56279.5248270     3443.05778
  56279.5249799     3363.86625
  56279.5251325     3475.44846
  56279.5252807     3224.33875
  56279.5254334     3534.85743
  56279.5255862     3528.53843
  56279.5257390     3457.77964
  56279.5258870     3350.27128
  56279.5260400     3352.62573
  56279.5261926     3614.27432
  56279.5263453     3494.53462
  56279.5264935     3552.27407
  56279.5266463     3363.67447
  56279.5267991     3484.54078
  56279.5269518     3288.30054
  56279.5271001     3634.25294
  56279.5272573     3354.62679
  56279.5274055     3468.94621
  56279.5275582     3273.04767
  56279.5277064     3310.84188
  56279.5278592     3335.33639
  56279.5280119     3466.25815
  56279.5281648     3355.00907
  56279.5283175     3276.30644
  56279.5284702     3542.47095
  56279.5286184     3533.36093
  56279.5287711     3479.62841
  56279.5289193     3498.84216
  56279.5290720     3402.62026
  56279.5292248     3518.36777
  56279.5293775     3505.44003
  56279.5295257     3510.27713
  56279.5296785     3340.04691
  56279.5298313     3440.82026
  56279.5299841     3441.09192
  56279.5301322     3342.33574
  56279.5302849     3293.09556
  56279.5304377     3424.13140
  56279.5305905     3330.00409
  56279.5307386     3531.78402
  56279.5308913     3585.96228
  56279.5310440     3544.43288
  56279.5311969     3485.87515
  56279.5313449     3499.98249
  56279.5314978     3500.77519
  56279.5316506     3296.77177
  56279.5318032     3390.34020
  56279.5319514     3363.01109
  56279.5321041     3350.51814
  56279.5322570     3571.05648
  56279.5324096     3464.27559
  56279.5325579     3430.85104
  56279.5327106     3589.92205
  56279.5328633     3379.24378
  56279.5330162     3501.90196
  56279.5331642     3518.88366
  56279.5333217     3463.75405
  56279.5334698     3447.51994
  56279.5336225     3475.81029
  56279.5337754     3561.04562
  56279.5339234     3327.61831
  56279.5340763     3626.54118
  56279.5342290     3403.31163
  56279.5343817     3549.46036
  56279.5345299     3476.65194
  56279.5346826     3475.45687
  56279.5348355     3505.32809
  56279.5349836     3584.37998
  56279.5351364     3350.66110
  56279.5352892     3531.96807
  56279.5354419     3417.13130
  56279.5357427     3325.77638
  56279.5358955     3260.75937
  56279.5360529     3642.56061
  56279.5361964     3513.32173
  56279.5363492     3636.27722
  56279.5365020     3448.46649
  56279.5366547     3567.73088
  56279.5368028     3546.35723
  56279.5369556     3429.87356
  56279.5371084     3453.04739
  56279.5372612     3388.16095
  56279.5374093     3663.72851
  56279.5375667     3419.56585
  56279.5377148     3527.26142
  56279.5378675     3499.84607
  56279.5380157     3612.76673
  56279.5381685     3459.40646
  56279.5383214     3406.94256
  56279.5384740     3375.39750
  56279.5386221     3693.33089
  56279.5389277     3467.02418
  56279.5390804     3504.65616
  56279.5392285     3524.76806
  56279.5393813     3449.41788
  56279.5395341     3327.73156
  56279.5396869     3376.89302
  56279.5398350     3662.46726
  56279.5399924     3679.40846
  56279.5401405     3534.47318
  56279.5402933     3491.23250
  56279.5404413     3540.75382
  56279.5405942     3458.42662
  56279.5407470     3422.48887
  56279.5408997     3520.42274
  56279.5410479     3386.98582
  56279.5412007     3528.91958
  56279.5413534     3566.11002
  56279.5415062     3329.10893
  56279.5416542     3610.71555
  56279.5418071     3432.63582
  56279.5419599     3316.17245
  56279.5421126     3376.50250
  56279.5422608     3577.16085
  56279.5424136     3550.81692
  56279.5425662     3511.46704
  56279.5427190     3378.13257
  56279.5428672     3583.81287
  56279.5430199     3357.61485
  56279.5433255     3564.57492
  56279.5437790     3408.85405
  56279.5439319     3364.27476
  56279.5440800     3625.30203
  56279.5442328     3245.63529
  56279.5443856     3604.20037
  56279.5445383     3443.87588
  56279.5446865     3608.70811
  56279.5448392     3516.07978
  56279.5449921     3443.13226
  56279.5451448     3516.25174
  56279.5452928     3385.69333
  56279.5454457     3496.93591
  56279.5455984     3564.42356
  56279.5457512     3557.45919
  56279.5458993     3344.64978
  56279.5460521     3473.34065
  56279.5462048     3562.29703
  56279.5463575     3466.75963
  56279.5465058     3463.66657
  56279.5468160     3312.28285
  56279.5469641     3457.16960
  56279.5472649     3431.54249
  56279.5474177     3349.10409
  56279.5475705     3487.88902
  56279.5477232     3376.99770
  56279.5478714     3317.12642
  56279.5480241     3570.13420
  56279.5481770     3300.74066
  56279.5483250     3388.92575
  56279.5484777     3587.50854
  56279.5486306     3296.63809
  56279.5487833     3587.26323
  56279.5489315     3481.80630
  56279.5490842     3306.58865
  56279.5492371     3587.23960
  56279.5493898     3450.74472
  56279.5495379     3424.11868
  56279.5496907     3408.82374
  56279.5498434     3468.27059
  56279.5499963     3283.25669
  56279.5501443     3175.48918
  56279.5502972     3379.87514
  56279.5504498     3598.47252
  56279.5506026     3415.20194
  56279.5507507     3642.21521
  56279.5509035     3432.30576
  56279.5510563     3676.61734
  56279.5512091     3374.40247
  56279.5513619     3179.47069
  56279.5515099     3439.58668
  56279.5516628     3221.91610
  56279.5518155     3532.41394
  56279.5519636     3557.28489
  56279.5521164     3567.12126
  56279.5522692     3497.87468
  56279.5524220     3303.39483
  56279.5525700     3546.37618
  56279.5527228     3412.03084
  56279.5528756     3391.53440
  56279.5530283     3383.48669
  56279.5531766     3440.24235
  56279.5533293     3304.20437
  56279.5534820     3259.33390
  56279.5536348     3137.34203
